2017-07-20 10:46:57 | 8463 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/receive_card?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/api\/accesstoken\/get?t=1500518816","param":{"id":"vip","secret":"iwide30vip"},"timeout":20,"usetime":0.15495014190674,"result":"{\"data\":\"a45e71208a38632e893a98a376d57025048894751bb07e3e32a9a6191bc50c75138a116b73064f73\",\"expire\":86400}"}
2017-07-20 10:46:57 | 8463 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/receive_card?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/api\/member\/notify_new?t=1500518817","param":{"inter_id":"a484619482","token":"a45e71208a38632e893a98a376d57025048894751bb07e3e32a9a6191bc50c75138a116b73064f73","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo"},"timeout":20,"usetime":0.12909913063049,"result":"{\"err\":\"0\",\"msg\":\"ok\"}"}
2017-07-20 10:46:57 | 8463 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/receive_card?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/member\/save_memberinfo?t=1500518817","param":{"inter_id":"a484619482","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo","data":{"nickname":"Mr.plum","is_auto":1}},"timeout":20,"usetime":0.11003518104553,"result":"{\"err\":\"40003\",\"msg\":\"\\u4fdd\\u5b58\\u5931\\u8d25\\u6216\\u6570\\u636e\\u6ca1\\u6709\\u6539\\u53d8\"}"}
2017-07-20 10:46:57 | 8463 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/receive_card?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/member\/member_template?t=1500518817","param":{"inter_id":"a484619482","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo"},"timeout":20,"usetime":0.10986185073853,"result":"{\"data\":\"phase2\"}"}
2017-07-20 10:46:57 | 8463 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/receive_card?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/adminmember\/get_custom_field_rule?t=1500518817","param":{"inter_id":"a484619482"},"timeout":20,"usetime":0.10840106010437,"result":"{\"id\":\"12\",\"inter_id\":\"a484619482\",\"value\":\"{\\\"balance_use\\\":\\\"t\\\",\\\"credit_use\\\":\\\"t\\\",\\\"credit\\\":{\\\"default\\\":\\\"f\\\",\\\"name\\\":\\\"\\\\u5fae\\\\u83cc\\\\u5206\\\"},\\\"balance\\\":{\\\"default\\\":\\\"f\\\",\\\"name\\\":\\\"\\\\u5fae\\\\u83cc\\\\u5e01\\\"},\\\"inter_id\\\":\\\"a484619482\\\",\\\"config_id\\\":\\\"12\\\"}\",\"createtime\":\"2017-03-27 19:30:51\",\"last_update_time\":\"2017-04-06 10:20:14\"}"}
2017-07-20 10:47:13 | 8462 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/savegivecard?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/api\/accesstoken\/get?t=1500518833","param":{"id":"vip","secret":"iwide30vip"},"timeout":20,"usetime":0.1096818447113,"result":"{\"data\":\"7bc17afd9150860badd633bbc41c002843c3234bbecb0161b6c15d98fa76ac61d975fd140444b1f1\",\"expire\":86400}"}
2017-07-20 10:47:13 | 8462 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/savegivecard?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/api\/member\/notify_new?t=1500518833","param":{"inter_id":"a484619482","token":"7bc17afd9150860badd633bbc41c002843c3234bbecb0161b6c15d98fa76ac61d975fd140444b1f1","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo"},"timeout":20,"usetime":0.12663006782532,"result":"{\"err\":\"0\",\"msg\":\"ok\"}"}
2017-07-20 10:47:16 | 8462 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/savegivecard?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/member\/save_memberinfo?t=1500518833","param":{"inter_id":"a484619482","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo","data":{"nickname":"Mr.plum","is_auto":1}},"timeout":20,"usetime":2.3112788200378,"result":"{\"err\":\"40003\",\"msg\":\"\\u4fdd\\u5b58\\u5931\\u8d25\\u6216\\u6570\\u636e\\u6ca1\\u6709\\u6539\\u53d8\"}"}
2017-07-20 10:47:16 | 8462 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/savegivecard?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/member\/member_template?t=1500518836","param":{"inter_id":"a484619482","openid":"oX3WojklzII6FwXZkN2ob0MpBzHo"},"timeout":20,"usetime":0.09846305847168,"result":"{\"data\":\"phase2\"}"}
2017-07-20 10:47:16 | 8462 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/savegivecard?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/vapi\/adminmember\/get_custom_field_rule?t=1500518836","param":{"inter_id":"a484619482"},"timeout":20,"usetime":0.096743106842041,"result":"{\"id\":\"12\",\"inter_id\":\"a484619482\",\"value\":\"{\\\"balance_use\\\":\\\"t\\\",\\\"credit_use\\\":\\\"t\\\",\\\"credit\\\":{\\\"default\\\":\\\"f\\\",\\\"name\\\":\\\"\\\\u5fae\\\\u83cc\\\\u5206\\\"},\\\"balance\\\":{\\\"default\\\":\\\"f\\\",\\\"name\\\":\\\"\\\\u5fae\\\\u83cc\\\\u5e01\\\"},\\\"inter_id\\\":\\\"a484619482\\\",\\\"config_id\\\":\\\"12\\\"}\",\"createtime\":\"2017-03-27 19:30:51\",\"last_update_time\":\"2017-04-06 10:20:14\"}"}
2017-07-20 10:47:42 | 8463 | 127.0.0.1 | 835ce4f316610134f716fef910c6c28e4f3080d2 | /membervip/card/receive?id=a484619482&openid=oX3WojklzII6FwXZkN2ob0MpBzHo&card_rule_id=65 | POST=[] | {"namespace":"core\/MY_Front_Member","curl":"http:\/\/vip.iwide.cn\/api\/accesstoken\/get?t=1500518862","param":{"id":"vip","secret":"iwide30vip"},"timeout":20,"usetime":0.087686061859131,"result":"{\"data\":\"543aa80aace6aa58cda2fb5f0b482b4240be3a6f010677379f732391b5e0cae2bd456f3b320efb7d\",\"expire\":86400}"}
